,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Num Features,Score
56,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,-,Y,Y,26,0.8392594143914252
92,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.8392195769580715
140,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,26,0.839214232145424
104,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,28,0.8391785485850882
177,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,28,0.8391385330270426
158,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,26,0.8391220921582925
161,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,28,0.8390522717671289
41,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,-,Y,Y,Y,-,Y,-,Y,Y,24,0.8389818715689189
133,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.8389701414173387
80,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,-,Y,Y,27,0.838942362382608
97,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,27,0.8389093352233995
145,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,28,0.8388988067494197
